Country,CountryCode,Region,AdolescentFertility,Agriculture,CO2,Electric,Energy,Exports,Fertility,Forest,GDP,GDPGrowth,TechExports,Immunization,Imports,Industry,Internet,LifeExpectancy,Military,Mobile,Mortality,StatisticalCapacity,PopulationDensity,PopulationGrowth,Population,HIV,SecondarySchool,SurfaceArea,TaxRevenue,PopulationGrowthUrban,AgeDependency,Agricultural,AirPassengers,AirDepartures,ArmedForces,ATM,BirthRate,Cereal,ComputerExports,ComputerImports,DeathRate,Broadband,BroadbandPer100,Telephone,GDPperCapita,Hospital,TechExportsUSD,Household,HouseholdAdj,ICTServiceExports,ICTServiceExportsUSD,ICTGoodsImports,ICTGoodsExports,Unemployment,Nurses,PopulationChildren,PopulationAdult,PopulationElderly,Renewable,SecureInternetTotal,SecureInternet
Afghanistan,AFG,Asia,92.9698,24.50744042,0.420932656,,,6.107274005,5.395,13500,17930239400,6.113685169,,65,44.19394807,23.47175158,5,60.06536585,1.778592618,60.32631999,102.6,51.11111111,44.58150293,2.461437265,29105480,0.1,51.77018,652860,8.854568097,4.008798962,101.1867576,379100,2279341.18,25021,4.691982741,0.641864957,36.556,4681020,80.73789569,26.83093575,8.375,,,13509,616.0434186,,,16318337640,19489518776,45.25569881,1573084342,0.332243175,,,,48.07777405,49.70506287,2.217166662,10.80752489,22,0.755871403
Albania,ALB,Europe,16.1458,20.95814683,1.60703771,2195.00272,770.3402667,34.01367344,1.748,7751.6,12890866743,2.545359489,0.530148791,99,56.74914503,14.2548852,49,77.16321951,1.527305355,98.29153459,15.9,70,106.0138686,-0.283303108,2904780,0.1,,28750,,1.773496394,47.97724699,12010,829778.9239,10373.21094,1.182647238,32.75509422,12.651,701200,28.98950291,8.125562154,6.71,128210,4.065147629,338844,4437.811725,2.43,6202700,10049675405,10357510283,10.5392145,296619954.1,3.579902835,0.523498088,,,22.07596207,67.57803345,10.34610367,36.15232225,44,15.14744662
Algeria,DZA,Africa,9.963799,8.325329378,3.22420156,1090.565936,1108.281628,38.97170882,2.829,14832,1.99071E+11,2.800018252,0.161139885,95,28.73931352,50.93866495,14,70.75168293,4.346310989,94.31443964,26.6,62.22222222,15.85519914,1.871447021,37762962,0.1,97.60729,2381740,37.36184931,2.877828528,46.8958664,413830,3543663,53286,2.658968734,5.900933197,24.658,3728263,66.84721722,65.66520249,5.855,980752,2.597126783,3059336,5271.590312,,2407114,62357632168,62264391184,61.48399722,2291802598,3.352263374,0.00304572,71.40000153,,27.21127701,68.07543945,4.713290215,0.179939197,34,0.900353103
Andorra,ADO,Europe,,0.496471161,6.310640211,,,,,160,3427235709,-4.802675037,,99,,12.56956275,81,,,83.53432222,3.2,,165.6702128,-0.053924969,77865,,,470,,-0.690816103,,203,,,,,,,,,,25763,33.08675271,38401,44015.09932,,,,,,,,,,,,,,,89,1143.003917
Angola,AGO,Africa,174.575,9.289702414,1.47221569,248.4577927,685.5350886,65.35270914,6.099,583552,1.04116E+11,3.918596986,,88,42.16294152,62.123355,14.776,51.05931707,3.495619369,59.82618856,177.5,47.77777778,16.18712601,3.178581885,20180490,2.2,31.51639,1246700,19.94459642,5.161434561,100.50402,583900,987798,12282,1.588570763,15.43821402,45.566,1412826,8.114630179,80.79718706,14.547,23101,,159485,5159.233877,,,46221190773,46221201419,6.03772536,44211804.56,,,,,47.7131691,49.8742981,2.412508249,57.70308053,62,3.072274261
Antigua and Barbuda,ATG,North America,50.50901,2.272136638,5.823804338,,,47.59244162,2.115,98,1129918370,-1.793435604,0,99,56.78675706,17.08035685,52,75.50036585,,199.6642164,9.9,46.66666667,200.3454545,1.047989749,88152,,106.11655,440,18.07406867,-1.155675831,49.2162638,90,1424420.155,36533.604,,76.43390065,16.763,90,6.462981663,24.28729193,6.218,6000,6.806425265,35484,12817.84157,2.1,0,797989222.2,798265888.9,6.299454185,30338470.74,3.800763355,12.10845768,,,25.7918148,67.01605988,7.190988064,,96,1089.028042
Argentina,ARG,South America,54.8632,7.49246451,4.665868631,2967.388776,1962.415604,17.56371621,2.201,291602,5.59849E+11,8.386451456,7.480739359,95,16.00784378,31.12764498,51,75.83860976,0.720326046,149.0906224,14.2,85.55555556,14.88248139,0.87423751,40728738,,91.93817,2780400,,1.057653731,54.69624585,1475480,8590839.85,90214.52053,0.560994451,47.91404235,17.057,49098463,49.85726618,36.70862808,7.724,4572023,,9722525,13745.79886,4.5,1978069865,3.62329E+11,3.62329E+11,45.40271295,7017536080,8.42374958,0.104437631,26.20000076,,24.6366272,64.64280701,10.72056293,8.951076371,1370,33.63718267
Armenia,ARM,Europe,27.2998,22.81541556,1.67383608,1754.652308,916.257439,23.75685346,1.738,2578,10142111334,4.699999999,2.598362316,97,47.35401166,33.83886746,32,74.33219512,3.8539466,108.336201,17.2,92.22222222,104.113804,0.021053995,2964120,0.2,,29740,17.21941905,-0.308245936,44.52337755,17106,392312,5561,3.731411466,42.77172629,14.033,435470,35.57684908,12.04903012,8.644,160573,5.417223324,586943,3421.62643,3.95,5737622,8485801779,8457390036,13.64509475,141403271.6,4.193539169,0.729609737,52.70000076,4.916,20.4136467,69.19297791,10.39340496,8.019003157,86,29.01367016
Australia,AUS,Oceania,12.8522,2.455978498,16.51920992,10712.16396,5500.224216,21.17049575,1.927,1483760,1.38807E+12,2.321478902,13.06709696,94,20.12955788,28.46050149,79.48769771,81.89512195,1.831496628,104.610551,4.5,,2.90798641,1.389527316,22340024,0.2,133.04507,7741220,20.46119479,1.549427001,48.39131748,4096726,63360310.34,593145.0025,0.480124851,166.594564,13.6,39987043,21.99942832,26.52642891,6.6,5552000,24.41455206,10573000,62133.61078,,4859392142,7.48679E+11,7.48679E+11,17.79038207,9189276755,9.827800908,0.845926462,18.89999962,10.648,18.91994476,67.38938141,13.69066715,7.477579186,45301,2027.795494
Austria,AUT,Europe,5.526,1.609330625,7.769983423,8389.656233,3950.725025,53.66340002,1.43,38920,4.29073E+11,3.071425817,11.66917993,76,51.14460193,28.54335571,78.7399931,80.98292683,0.794622175,154.426039,4.2,,101.8292055,0.337080842,8391643,,97.96985,83879,17.89313679,0.346183705,48.53957051,28690,14088251.66,166729.9973,0.534524538,113.4829839,9.3,6014910,33.25011514,36.16234176,9.1,2097700,24.87522071,3388000,51130.96905,7.6,15705949135,2.29806E+11,2.29415E+11,27.53836193,16293240446,4.936106381,3.7939034,25.89999962,7.914,14.60754299,67.32214355,18.07032967,31.45927804,8362,996.4675571
