       lat   long depth mag stations
   -20.42 181.62   562 4.8       41
   -20.62 181.03   650 4.2       15
   -26.00 184.10    42 5.4       43
   -17.97 181.66   626 4.1       19
   -20.42 181.96   649 4.0       11
   -19.68 184.31   195 4.0       12
   -11.70 166.10    82 4.8       43
   -28.11 181.93   194 4.4       15
   -28.74 181.74   211 4.7       35
  -17.47 179.59   622 4.3       19
  -21.44 180.69   583 4.4       13
  -12.26 167.00   249 4.6       16
  -18.54 182.11   554 4.4       19
  -21.00 181.66   600 4.4       10
  -20.70 169.92   139 6.1       94
  -15.94 184.95   306 4.3       11
  -13.64 165.96    50 6.0       83
  -17.83 181.50   590 4.5       21
  -23.50 179.78   570 4.4       13
  -22.63 180.31   598 4.4       18
  -20.84 181.16   576 4.5       17
  -10.98 166.32   211 4.2       12
  -23.30 180.16   512 4.4       18
  -30.20 182.00   125 4.7       22
  -19.66 180.28   431 5.4       57
  -17.94 181.49   537 4.0       15
  -14.72 167.51   155 4.6       18
  -16.46 180.79   498 5.2       79
  -20.97 181.47   582 4.5       25
  -19.84 182.37   328 4.4       17
  -22.58 179.24   553 4.6       21
  -16.32 166.74    50 4.7       30
  -15.55 185.05   292 4.8       42
  -23.55 180.80   349 4.0       10
  -16.30 186.00    48 4.5       10
  -25.82 179.33   600 4.3       13
  -18.73 169.23   206 4.5       17
  -17.64 181.28   574 4.6       17
  -17.66 181.40   585 4.1       17
  -18.82 169.33   230 4.4       11
  -37.37 176.78   263 4.7       34
  -15.31 186.10    96 4.6       32
  -24.97 179.82   511 4.4       23
  -15.49 186.04    94 4.3       26
  -19.23 169.41   246 4.6       27
  -30.10 182.30    56 4.9       34
  -26.40 181.70   329 4.5       24
  -11.77 166.32    70 4.4       18
  -24.12 180.08   493 4.3       21
  -18.97 185.25   129 5.1       73
  -18.75 182.35   554 4.2       13
  -19.26 184.42   223 4.0       15
  -22.75 173.20    46 4.6       26
  -21.37 180.67   593 4.3       13
  -20.10 182.16   489 4.2       16
  -19.85 182.13   562 4.4       31
  -22.70 181.00   445 4.5       17
  -22.06 180.60   584 4.0       11
  -17.80 181.35   535 4.4       23
  -24.20 179.20   530 4.3       12
  -20.69 181.55   582 4.7       35
  -21.16 182.40   260 4.1       12
  -13.82 172.38   613 5.0       61
  -11.49 166.22    84 4.6       32
  -20.68 181.41   593 4.9       40
  -17.10 184.93   286 4.7       25
  -20.14 181.60   587 4.1       13
  -21.96 179.62   627 5.0       45
  -20.42 181.86   530 4.5       27
  -15.46 187.81    40 5.5       91
  -15.31 185.80   152 4.0       11
  -19.86 184.35   201 4.5       30
  -11.55 166.20    96 4.3       14
  -23.74 179.99   506 5.2       75
  -17.70 181.23   546 4.4       35
  -23.54 180.04   564 4.3       15
  -19.21 184.70   197 4.1       11
  -12.11 167.06   265 4.5       23
  -21.81 181.71   323 4.2       15
  -28.98 181.11   304 5.3       60
  -34.02 180.21    75 5.2       65
  -23.84 180.99   367 4.5       27
  -19.57 182.38   579 4.6       38
  -20.12 183.40   284 4.3       15
  -17.70 181.70   450 4.0       11
  -19.66 184.31   170 4.3       15
  -21.50 170.50   117 4.7       32
  -23.64 179.96   538 4.5       26
  -15.43 186.30   123 4.2       16
  -15.41 186.44    69 4.3       42
  -15.48 167.53   128 5.1       61
  -13.36 167.06   236 4.7       22
  -20.64 182.02   497 5.2       64
  -19.72 169.71   271 4.2       14
  -15.44 185.26   224 4.2       21
  -19.73 182.40   375 4.0       18
  -27.24 181.11   365 4.5       21
  -18.16 183.41   306 5.2       54
  -13.66 166.54    50 5.1       45
  -24.57 179.92   484 4.7       33
